Restaurant ID,Restaurant Name,Location,Cuisine,Average Cost (per person),Rating,Votes,Sales (₹),Online Order
R102366,Restaurant_2366,Kolkata,Fast Food,1496,2.6,3829,276427,Yes
R102367,Restaurant_2367,Chennai,Fast Food,1282,4.0,2011,898248,Yes
R102368,Restaurant_2368,Delhi,Continental,842,2.6,1645,1229280,No
R102369,Restaurant_2369,Ahmedabad,Mexican,400,4.3,4830,114807,Yes
R102370,Restaurant_2370,Bangalore,Chinese,631,4.2,2583,1950160,No
R102371,Restaurant_2371,Kolkata,Japanese,864,3.4,3708,203361,Yes
R102372,Restaurant_2372,Bangalore,Italian,965,3.5,515,887699,No
R102373,Restaurant_2373,Pune,Mughlai,831,4.8,2119,1354430,Yes
R102374,Restaurant_2374,Pune,Mughlai,324,2.5,2493,1581149,Yes
R102375,Restaurant_2375,Jaipur,Mexican,1343,3.9,1282,193343,Yes
R102376,Restaurant_2376,Chennai,South Indian,151,4.8,194,681940,Yes
R102377,Restaurant_2377,Ahmedabad,South Indian,788,4.8,2402,1738637,Yes
R102378,Restaurant_2378,Lucknow,Italian,855,4.0,1857,500720,Yes
R102379,Restaurant_2379,Lucknow,Japanese,511,3.5,3098,1695593,Yes
R102380,Restaurant_2380,Ahmedabad,Thai,1469,2.7,4092,1533510,No
R102381,Restaurant_2381,Delhi,Japanese,719,2.9,4189,544268,No
R102382,Restaurant_2382,Chennai,Thai,739,4.2,4252,1786643,Yes
R102383,Restaurant_2383,Bangalore,Italian,351,2.5,4295,1071213,No
R102384,Restaurant_2384,Delhi,Thai,1154,4.7,1337,360717,Yes
R102385,Restaurant_2385,Hyderabad,Chinese,1462,4.0,159,1631885,Yes
R102386,Restaurant_2386,Ahmedabad,Continental,1235,2.6,4895,1369760,Yes
R102387,Restaurant_2387,Bangalore,Japanese,275,3.1,4869,254507,Yes
R102388,Restaurant_2388,Lucknow,Thai,1141,4.0,2840,155285,Yes
R102389,Restaurant_2389,Mumbai,Fast Food,198,2.6,4473,1256200,No
R102390,Restaurant_2390,Jaipur,Chinese,995,4.4,911,1233992,Yes
R102391,Restaurant_2391,Lucknow,Japanese,328,4.8,510,1439658,Yes
R102392,Restaurant_2392,Chennai,Thai,642,4.9,1154,1236851,Yes
R102393,Restaurant_2393,Pune,Fast Food,721,4.3,793,1963862,Yes
R102394,Restaurant_2394,Mumbai,Italian,451,4.6,2460,158025,Yes
R102395,Restaurant_2395,Jaipur,Italian,1113,4.0,3842,355353,Yes
R102396,Restaurant_2396,Jaipur,Mexican,1139,3.6,492,52892,Yes
R102397,Restaurant_2397,Hyderabad,Mughlai,1342,4.3,1883,1970552,No
R102398,Restaurant_2398,Hyderabad,North Indian,1126,3.1,935,1105263,Yes
R102399,Restaurant_2399,Kolkata,Fast Food,418,2.8,3654,1485277,Yes
R102400,Restaurant_2400,Lucknow,Mexican,773,4.4,4406,1777743,No
R102401,Restaurant_2401,Lucknow,Chinese,249,4.9,4425,1989616,Yes
R102402,Restaurant_2402,Lucknow,Thai,364,3.9,3271,393069,No
R102403,Restaurant_2403,Kolkata,Japanese,774,3.7,201,604440,No
R102404,Restaurant_2404,Delhi,South Indian,246,3.8,1646,1752149,Yes
R102405,Restaurant_2405,Jaipur,Fast Food,968,3.7,1721,1619482,Yes
R102406,Restaurant_2406,Mumbai,North Indian,779,3.6,1584,283830,Yes
R102407,Restaurant_2407,Chennai,South Indian,697,4.9,1615,1124451,Yes
R102408,Restaurant_2408,Jaipur,Continental,486,3.7,1000,1063592,Yes
R102409,Restaurant_2409,Hyderabad,North Indian,508,2.7,2964,740299,Yes
R102410,Restaurant_2410,Bangalore,Mexican,1463,4.4,2542,566725,No
R102411,Restaurant_2411,Pune,North Indian,965,3.5,1391,603227,Yes
R102412,Restaurant_2412,Kolkata,Thai,509,4.3,781,1500261,Yes
R102413,Restaurant_2413,Ahmedabad,Japanese,1164,3.9,4383,132943,Yes
R102414,Restaurant_2414,Bangalore,Chinese,496,4.3,588,1291163,Yes
R102415,Restaurant_2415,Chennai,South Indian,1297,2.7,818,927743,Yes
R102416,Restaurant_2416,Lucknow,North Indian,701,2.6,2906,1837573,Yes
R102417,Restaurant_2417,Hyderabad,Thai,687,3.4,3775,1548147,No
R102418,Restaurant_2418,Hyderabad,Italian,803,4.2,2171,1936140,Yes
R102419,Restaurant_2419,Hyderabad,North Indian,571,3.1,1784,1739142,Yes
R102420,Restaurant_2420,Lucknow,North Indian,485,3.6,4441,541789,Yes
R102421,Restaurant_2421,Ahmedabad,Mughlai,206,5.0,63,1807185,Yes
R102422,Restaurant_2422,Kolkata,South Indian,1166,3.0,4757,899151,Yes
R102423,Restaurant_2423,Bangalore,Mughlai,1061,4.6,3724,1079633,Yes
R102424,Restaurant_2424,Lucknow,Mughlai,866,4.6,4540,462220,No
R102425,Restaurant_2425,Chennai,Japanese,1249,4.7,240,403642,Yes
R102426,Restaurant_2426,Kolkata,Thai,434,4.8,2914,1169338,No
R102427,Restaurant_2427,Chennai,Mughlai,871,3.8,4152,841685,No
R102428,Restaurant_2428,Kolkata,North Indian,535,4.2,1154,1472744,Yes
R102429,Restaurant_2429,Ahmedabad,Mexican,1099,4.0,2862,293138,No
R102430,Restaurant_2430,Pune,Mexican,919,3.3,701,583014,No
R102431,Restaurant_2431,Chennai,Italian,1432,3.2,1430,633240,No
R102432,Restaurant_2432,Lucknow,Mexican,989,3.4,851,937134,Yes
R102433,Restaurant_2433,Kolkata,Italian,160,3.0,4594,270187,No
R102434,Restaurant_2434,Hyderabad,Mexican,1121,4.4,2171,791912,No
R102435,Restaurant_2435,Jaipur,Continental,821,4.9,2034,241330,Yes
R102436,Restaurant_2436,Hyderabad,Italian,409,4.7,4190,1400720,Yes
R102437,Restaurant_2437,Delhi,Fast Food,542,3.0,1602,1800209,Yes
R102438,Restaurant_2438,Pune,South Indian,749,2.6,2842,491642,Yes
R102439,Restaurant_2439,Pune,South Indian,1357,4.4,2773,1128311,Yes
R102440,Restaurant_2440,Hyderabad,South Indian,1189,3.5,2072,1074463,Yes
R102441,Restaurant_2441,Bangalore,Thai,905,4.6,4720,1295206,Yes
R102442,Restaurant_2442,Ahmedabad,Japanese,1259,4.4,1480,615936,Yes
R102443,Restaurant_2443,Chennai,Chinese,860,4.1,4238,1618738,Yes
R102444,Restaurant_2444,Lucknow,Japanese,1183,3.1,2563,1749967,No
R102445,Restaurant_2445,Pune,Italian,626,2.8,653,51286,Yes
R102446,Restaurant_2446,Hyderabad,Japanese,1337,3.1,376,1561188,Yes
R102447,Restaurant_2447,Hyderabad,Mexican,173,3.8,3888,1698674,Yes
R102448,Restaurant_2448,Ahmedabad,Italian,461,4.9,2825,716086,No
R102449,Restaurant_2449,Ahmedabad,Japanese,1411,2.7,3689,897972,Yes
R102450,Restaurant_2450,Mumbai,Japanese,611,3.0,640,1082928,Yes
R102451,Restaurant_2451,Mumbai,Mughlai,1411,4.1,1488,1351220,No
R102452,Restaurant_2452,Bangalore,Continental,171,3.3,3620,275890,Yes
R102453,Restaurant_2453,Bangalore,Thai,329,4.6,900,276385,Yes
R102454,Restaurant_2454,Delhi,Italian,940,2.8,489,75916,Yes
R102455,Restaurant_2455,Bangalore,Chinese,879,4.9,3045,1702690,No
R102456,Restaurant_2456,Kolkata,South Indian,898,4.8,4473,576665,Yes
R102457,Restaurant_2457,Ahmedabad,North Indian,865,4.7,1715,467987,Yes
R102458,Restaurant_2458,Lucknow,Fast Food,488,2.9,2958,404717,Yes
R102459,Restaurant_2459,Kolkata,Japanese,680,3.3,1307,1409724,Yes
R102460,Restaurant_2460,Chennai,South Indian,841,4.5,1594,1153356,No
R102461,Restaurant_2461,Hyderabad,Mexican,311,4.5,1955,1042736,No
R102462,Restaurant_2462,Bangalore,Fast Food,1234,4.3,3729,101267,No
R102463,Restaurant_2463,Hyderabad,Continental,1258,3.6,1865,1997016,Yes
R102464,Restaurant_2464,Pune,South Indian,639,3.3,2326,1333344,Yes
R102465,Restaurant_2465,Delhi,Mughlai,154,4.9,3366,1644666,No
R102466,Restaurant_2466,Pune,South Indian,225,2.8,1500,1838774,Yes
R102467,Restaurant_2467,Delhi,Continental,1426,2.6,2097,828071,Yes
R102468,Restaurant_2468,Mumbai,South Indian,156,2.5,4889,1012488,Yes
R102469,Restaurant_2469,Hyderabad,Japanese,830,4.4,3594,1648310,Yes
R102470,Restaurant_2470,Delhi,South Indian,622,2.6,4956,1260508,Yes
R102471,Restaurant_2471,Jaipur,Mughlai,1311,3.8,3684,402440,No
R102472,Restaurant_2472,Kolkata,Thai,961,3.4,223,780777,Yes
R102473,Restaurant_2473,Delhi,Continental,987,2.9,1148,1705996,Yes
R102474,Restaurant_2474,Delhi,Mughlai,752,4.4,1172,1372557,Yes
R102475,Restaurant_2475,Kolkata,Italian,1336,2.6,2610,1292130,No
R102476,Restaurant_2476,Hyderabad,South Indian,467,3.3,2092,613280,No
R102477,Restaurant_2477,Hyderabad,Chinese,1426,3.9,3828,1238337,Yes
R102478,Restaurant_2478,Kolkata,South Indian,1374,3.5,2226,1362285,Yes
R102479,Restaurant_2479,Pune,Continental,1338,3.1,2471,174542,Yes
R102480,Restaurant_2480,Jaipur,Fast Food,381,4.8,4381,1909801,Yes
R102481,Restaurant_2481,Lucknow,Mughlai,477,4.8,4887,1163776,Yes
R102482,Restaurant_2482,Chennai,Chinese,387,3.5,3822,1386657,Yes
R102483,Restaurant_2483,Jaipur,Italian,1293,3.5,1742,1995720,Yes
R102484,Restaurant_2484,Hyderabad,Mexican,1099,3.3,340,302372,Yes
R102485,Restaurant_2485,Lucknow,Italian,1044,4.6,3981,958659,Yes
R102486,Restaurant_2486,Mumbai,Mughlai,768,3.9,1468,531458,No
R102487,Restaurant_2487,Bangalore,Fast Food,399,2.7,2038,437182,Yes
R102488,Restaurant_2488,Delhi,Mughlai,1457,4.6,617,1682264,Yes
R102489,Restaurant_2489,Kolkata,North Indian,347,3.8,3088,1405997,Yes
R102490,Restaurant_2490,Kolkata,Chinese,565,3.5,2395,1910380,Yes
R102491,Restaurant_2491,Delhi,Fast Food,881,3.3,3193,972460,Yes
R102492,Restaurant_2492,Bangalore,Chinese,1087,2.7,2353,1815330,Yes
R102493,Restaurant_2493,Chennai,Mughlai,1324,4.9,358,1372631,Yes
R102494,Restaurant_2494,Bangalore,Thai,1438,4.4,2188,950203,Yes
R102495,Restaurant_2495,Lucknow,Chinese,1393,2.8,2246,1966240,Yes
R102496,Restaurant_2496,Bangalore,North Indian,1389,3.8,511,1412123,Yes
R102497,Restaurant_2497,Lucknow,Japanese,1488,3.9,4780,449886,Yes
R102498,Restaurant_2498,Bangalore,Fast Food,365,2.9,3870,634132,Yes
R102499,Restaurant_2499,Chennai,North Indian,1334,3.6,4782,113137,Yes
R102500,Restaurant_2500,Chennai,North Indian,964,4.1,695,803587,No
R102501,Restaurant_2501,Hyderabad,Mexican,759,3.2,4663,1122049,No
R102502,Restaurant_2502,Delhi,Thai,660,3.3,1446,1145874,Yes
R102503,Restaurant_2503,Chennai,South Indian,1067,2.8,3318,552020,No
R102504,Restaurant_2504,Lucknow,Thai,306,3.5,4335,857777,Yes
R102505,Restaurant_2505,Chennai,Continental,311,4.0,3924,75608,Yes
R102506,Restaurant_2506,Hyderabad,Mexican,191,2.8,4224,817191,No
R102507,Restaurant_2507,Kolkata,Mughlai,1353,4.0,1620,1079018,Yes
R102508,Restaurant_2508,Lucknow,Mughlai,452,3.5,865,1986496,Yes
R102509,Restaurant_2509,Hyderabad,Italian,1163,4.2,1955,1857988,No
R102510,Restaurant_2510,Pune,South Indian,913,3.3,4217,418979,No
R102511,Restaurant_2511,Pune,Continental,269,3.9,2140,846718,No
R102512,Restaurant_2512,Mumbai,Chinese,1248,4.0,4948,783996,Yes
R102513,Restaurant_2513,Bangalore,Thai,823,4.2,3254,1009809,No
R102514,Restaurant_2514,Delhi,Fast Food,810,4.4,3920,1271398,Yes
R102515,Restaurant_2515,Ahmedabad,North Indian,272,2.8,1179,139185,No
R102516,Restaurant_2516,Jaipur,Chinese,802,4.9,2105,1667340,Yes
R102517,Restaurant_2517,Hyderabad,Italian,1355,4.6,1847,1274796,Yes
R102518,Restaurant_2518,Kolkata,Thai,1070,3.9,3464,1845882,Yes
R102519,Restaurant_2519,Jaipur,Fast Food,1163,4.7,2534,694347,Yes
R102520,Restaurant_2520,Kolkata,Italian,938,3.5,738,296946,Yes
R102521,Restaurant_2521,Jaipur,North Indian,406,2.6,3513,1202157,Yes
R102522,Restaurant_2522,Hyderabad,Mexican,906,4.3,625,1580434,Yes
R102523,Restaurant_2523,Ahmedabad,South Indian,747,4.9,3060,259033,No
R102524,Restaurant_2524,Jaipur,Mexican,1442,2.9,3952,929999,Yes
R102525,Restaurant_2525,Hyderabad,Fast Food,1353,4.1,4865,234631,Yes
R102526,Restaurant_2526,Chennai,Mexican,940,4.5,4371,253041,Yes
R102527,Restaurant_2527,Ahmedabad,Fast Food,1322,4.8,3920,523152,No
R102528,Restaurant_2528,Lucknow,Continental,1321,3.2,2889,1434197,No
R102529,Restaurant_2529,Kolkata,Continental,829,2.8,3124,266261,Yes
R102530,Restaurant_2530,Pune,Japanese,1182,3.1,4690,821754,No
R102531,Restaurant_2531,Bangalore,Japanese,1351,3.9,2575,1082894,Yes
R102532,Restaurant_2532,Pune,Mexican,945,4.8,3531,1406736,Yes
R102533,Restaurant_2533,Ahmedabad,Mughlai,757,4.0,2067,1901268,Yes
R102534,Restaurant_2534,Lucknow,Mexican,480,4.8,3428,1710440,Yes
R102535,Restaurant_2535,Kolkata,Mexican,205,4.4,3335,1557866,Yes
R102536,Restaurant_2536,Lucknow,Mughlai,1380,4.0,3151,1929721,Yes
R102537,Restaurant_2537,Jaipur,South Indian,254,2.6,4564,1430468,Yes
R102538,Restaurant_2538,Kolkata,Thai,696,3.3,3658,1314507,Yes
R102539,Restaurant_2539,Jaipur,Mughlai,942,2.6,1101,1518982,Yes
R102540,Restaurant_2540,Hyderabad,Fast Food,638,3.3,4754,148789,No
R102541,Restaurant_2541,Ahmedabad,Thai,1223,2.7,136,723130,No
R102542,Restaurant_2542,Hyderabad,North Indian,1260,2.9,3147,1148777,No
R102543,Restaurant_2543,Mumbai,South Indian,452,3.5,4858,1721951,Yes
R102544,Restaurant_2544,Lucknow,North Indian,1174,3.8,2489,1896259,Yes
R102545,Restaurant_2545,Jaipur,Japanese,799,3.0,1327,282300,No
R102546,Restaurant_2546,Chennai,Chinese,797,4.3,569,1746363,No
R102547,Restaurant_2547,Hyderabad,Continental,530,4.0,436,1352513,No
R102548,Restaurant_2548,Mumbai,North Indian,311,4.2,63,1581481,Yes
R102549,Restaurant_2549,Delhi,Italian,168,4.3,4236,792892,Yes
R102550,Restaurant_2550,Pune,Mexican,1123,4.3,3525,1489076,Yes
R102551,Restaurant_2551,Kolkata,Fast Food,392,4.8,3626,999659,Yes
R102552,Restaurant_2552,Mumbai,North Indian,278,3.1,53,637227,No
R102553,Restaurant_2553,Ahmedabad,North Indian,1349,3.2,3119,1586413,Yes
R102554,Restaurant_2554,Hyderabad,Chinese,558,2.7,3340,582349,Yes
R102555,Restaurant_2555,Ahmedabad,Japanese,941,4.0,3709,1531849,Yes
R102556,Restaurant_2556,Pune,Mexican,1092,3.5,4941,282908,Yes
R102557,Restaurant_2557,Chennai,Mexican,1257,3.7,3988,1385128,Yes
R102558,Restaurant_2558,Lucknow,Chinese,371,2.9,4361,1332476,No
R102559,Restaurant_2559,Lucknow,Mughlai,1498,4.1,1652,1750082,Yes
R102560,Restaurant_2560,Ahmedabad,Chinese,594,4.0,4849,1509980,Yes
R102561,Restaurant_2561,Jaipur,Italian,767,3.2,4876,1514571,Yes
R102562,Restaurant_2562,Chennai,Thai,1498,3.7,4023,796570,Yes
R102563,Restaurant_2563,Lucknow,Italian,672,4.7,2592,336831,Yes
R102564,Restaurant_2564,Chennai,Chinese,315,4.4,1692,1516006,Yes
R102565,Restaurant_2565,Mumbai,Continental,857,3.1,1539,177757,Yes
R102566,Restaurant_2566,Chennai,Mughlai,892,4.7,4108,1427225,No
R102567,Restaurant_2567,Bangalore,Continental,1411,2.7,3283,1837489,Yes
R102568,Restaurant_2568,Pune,Italian,1158,3.5,1745,1860791,Yes
R102569,Restaurant_2569,Lucknow,Mexican,1062,2.7,1436,1525478,No
R102570,Restaurant_2570,Chennai,Italian,1186,4.8,4842,66551,No
R102571,Restaurant_2571,Ahmedabad,South Indian,1430,2.6,1247,1249353,No
R102572,Restaurant_2572,Delhi,Japanese,1383,2.9,2335,799375,Yes
R102573,Restaurant_2573,Bangalore,Fast Food,514,4.8,1037,1683013,No
R102574,Restaurant_2574,Bangalore,South Indian,374,4.0,4039,1977380,Yes
R102575,Restaurant_2575,Jaipur,Chinese,1145,4.5,3009,721162,Yes
R102576,Restaurant_2576,Chennai,North Indian,343,2.5,1311,1226339,No
R102577,Restaurant_2577,Jaipur,Continental,1369,3.5,4775,506607,Yes
R102578,Restaurant_2578,Jaipur,Thai,206,5.0,1305,1616541,No
R102579,Restaurant_2579,Delhi,South Indian,362,3.9,637,1502823,Yes
R102580,Restaurant_2580,Mumbai,Mughlai,1452,4.6,1590,1678205,Yes
R102581,Restaurant_2581,Chennai,Continental,266,4.9,843,1644385,Yes
R102582,Restaurant_2582,Hyderabad,South Indian,748,4.2,3966,923326,No
R102583,Restaurant_2583,Lucknow,Mexican,559,3.3,2070,1648197,Yes
R102584,Restaurant_2584,Jaipur,Fast Food,961,3.3,168,1210541,Yes
R102585,Restaurant_2585,Pune,Italian,1078,2.7,1263,1163307,Yes
R102586,Restaurant_2586,Kolkata,Italian,1286,3.6,663,1529343,No
R102587,Restaurant_2587,Pune,South Indian,1337,4.8,4631,218333,No
R102588,Restaurant_2588,Delhi,Chinese,153,3.7,4467,1864249,Yes
R102589,Restaurant_2589,Delhi,Mughlai,172,4.8,4284,1624837,Yes
R102590,Restaurant_2590,Ahmedabad,Chinese,1070,4.5,3523,1109476,Yes
R102591,Restaurant_2591,Mumbai,Continental,894,5.0,3347,754609,No
R102592,Restaurant_2592,Lucknow,Japanese,751,4.9,1339,593748,No
R102593,Restaurant_2593,Jaipur,Fast Food,1137,4.3,2430,928463,No
R102594,Restaurant_2594,Pune,Fast Food,1265,4.7,273,1231854,Yes
R102595,Restaurant_2595,Kolkata,Italian,618,4.4,4717,1811218,No
R102596,Restaurant_2596,Delhi,Fast Food,1119,4.3,2873,1557414,Yes
R102597,Restaurant_2597,Delhi,Chinese,1328,4.3,3064,322102,Yes
R102598,Restaurant_2598,Mumbai,Mughlai,776,4.3,2690,323527,Yes
R102599,Restaurant_2599,Kolkata,Mughlai,356,3.4,4954,701706,Yes
R102600,Restaurant_2600,Kolkata,Italian,1163,3.6,1036,547835,Yes
R102601,Restaurant_2601,Mumbai,South Indian,230,3.2,1073,1085839,Yes
R102602,Restaurant_2602,Delhi,Mughlai,764,2.9,1593,643501,Yes
R102603,Restaurant_2603,Lucknow,Chinese,632,3.6,1322,1385977,Yes
R102604,Restaurant_2604,Chennai,North Indian,741,4.7,1829,1965114,Yes
R102605,Restaurant_2605,Chennai,South Indian,1276,4.1,1750,909613,Yes
R102606,Restaurant_2606,Mumbai,Japanese,1413,2.6,3980,750536,No
R102607,Restaurant_2607,Kolkata,Thai,1438,4.5,2284,652608,Yes
R102608,Restaurant_2608,Jaipur,Mexican,182,4.8,4394,1226163,No
R102609,Restaurant_2609,Mumbai,Fast Food,184,4.6,3248,208117,Yes
R102610,Restaurant_2610,Lucknow,Fast Food,1422,4.3,3209,189398,Yes
R102611,Restaurant_2611,Mumbai,North Indian,1149,2.9,4033,1651850,Yes
R102612,Restaurant_2612,Bangalore,South Indian,1223,3.4,1073,1334164,Yes
R102613,Restaurant_2613,Pune,Italian,429,3.9,3889,322581,Yes
R102614,Restaurant_2614,Kolkata,Chinese,301,2.7,875,1203840,No
R102615,Restaurant_2615,Ahmedabad,North Indian,850,2.8,2786,1544733,Yes
R102616,Restaurant_2616,Ahmedabad,Mexican,884,4.8,3456,1848154,Yes
R102617,Restaurant_2617,Kolkata,Mughlai,1168,4.3,2824,980660,Yes
R102618,Restaurant_2618,Lucknow,Italian,1403,3.2,4682,864209,Yes
R102619,Restaurant_2619,Bangalore,Thai,814,3.3,541,75310,Yes
R102620,Restaurant_2620,Bangalore,Italian,1072,3.5,1909,1607613,Yes
R102621,Restaurant_2621,Delhi,North Indian,1461,2.7,2389,954218,Yes
R102622,Restaurant_2622,Pune,Japanese,602,4.3,641,987359,No
R102623,Restaurant_2623,Chennai,North Indian,769,2.9,2784,1038479,Yes
R102624,Restaurant_2624,Hyderabad,North Indian,1206,4.5,1542,1789969,Yes
R102625,Restaurant_2625,Lucknow,North Indian,1284,4.6,997,942249,Yes
R102626,Restaurant_2626,Hyderabad,Italian,1294,4.1,1625,766815,Yes
R102627,Restaurant_2627,Hyderabad,North Indian,165,4.4,732,233368,No
R102628,Restaurant_2628,Kolkata,South Indian,888,2.9,678,941827,No
R102629,Restaurant_2629,Ahmedabad,Italian,864,3.9,4738,1440195,Yes
R102630,Restaurant_2630,Ahmedabad,Mughlai,863,4.2,4532,1001496,Yes
R102631,Restaurant_2631,Chennai,South Indian,247,4.2,4797,745940,No
R102632,Restaurant_2632,Kolkata,Mexican,265,2.8,2290,1001459,Yes
R102633,Restaurant_2633,Hyderabad,Mughlai,1114,3.4,3804,1999702,Yes
R102634,Restaurant_2634,Jaipur,Thai,1454,3.3,150,1854348,Yes
R102635,Restaurant_2635,Ahmedabad,Fast Food,498,3.9,1143,268012,Yes
R102636,Restaurant_2636,Lucknow,Italian,381,4.4,2541,470324,No
R102637,Restaurant_2637,Lucknow,Fast Food,1284,3.9,3822,1390023,No
R102638,Restaurant_2638,Delhi,Italian,1185,4.4,482,1421586,Yes
R102639,Restaurant_2639,Mumbai,Mughlai,1133,2.7,586,1943789,Yes
R102640,Restaurant_2640,Jaipur,Thai,788,4.7,650,1804023,Yes
R102641,Restaurant_2641,Ahmedabad,Chinese,434,3.8,1716,204654,No
R102642,Restaurant_2642,Bangalore,Chinese,785,2.6,2805,927103,No
R102643,Restaurant_2643,Ahmedabad,South Indian,694,4.1,368,750506,Yes
R102644,Restaurant_2644,Delhi,North Indian,541,3.8,4991,1399125,No
R102645,Restaurant_2645,Lucknow,North Indian,1343,3.1,1912,861453,Yes
R102646,Restaurant_2646,Hyderabad,Chinese,226,4.4,3782,313452,Yes
R102647,Restaurant_2647,Bangalore,Mughlai,446,4.8,1577,1460440,Yes
R102648,Restaurant_2648,Kolkata,Thai,479,3.3,120,169733,Yes
R102649,Restaurant_2649,Pune,South Indian,1236,3.7,493,1556899,Yes
R102650,Restaurant_2650,Hyderabad,Mughlai,419,2.8,4744,68289,Yes
R102651,Restaurant_2651,Pune,North Indian,365,4.8,436,1863642,Yes
R102652,Restaurant_2652,Jaipur,South Indian,1363,3.3,1919,836406,Yes
R102653,Restaurant_2653,Mumbai,Fast Food,1248,3.0,4698,1156249,Yes
R102654,Restaurant_2654,Bangalore,Continental,659,3.7,2061,1056724,Yes
R102655,Restaurant_2655,Chennai,Mexican,728,2.6,2971,319926,Yes
R102656,Restaurant_2656,Bangalore,South Indian,1266,3.1,3401,1727270,Yes
R102657,Restaurant_2657,Ahmedabad,North Indian,1226,2.7,329,299157,No
R102658,Restaurant_2658,Lucknow,Mughlai,645,2.8,820,1118638,Yes
R102659,Restaurant_2659,Ahmedabad,Fast Food,1097,2.8,1003,735076,Yes
R102660,Restaurant_2660,Ahmedabad,Mexican,243,4.7,4474,1039070,Yes
R102661,Restaurant_2661,Jaipur,Mexican,774,4.8,1609,1462026,Yes
R102662,Restaurant_2662,Hyderabad,South Indian,378,3.7,2547,826670,Yes
R102663,Restaurant_2663,Chennai,Mexican,399,4.1,3496,160025,Yes
R102664,Restaurant_2664,Chennai,Fast Food,870,4.2,3417,1461589,Yes
R102665,Restaurant_2665,Ahmedabad,Thai,1129,3.5,3597,1232231,Yes
R102666,Restaurant_2666,Pune,Mughlai,331,3.4,2490,617520,Yes
R102667,Restaurant_2667,Jaipur,South Indian,416,4.2,158,1568139,Yes
R102668,Restaurant_2668,Ahmedabad,Mexican,1153,3.4,4504,162411,Yes
R102669,Restaurant_2669,Mumbai,Thai,430,4.0,1005,1120811,Yes
R102670,Restaurant_2670,Lucknow,Mughlai,1111,3.8,3410,1777817,Yes
R102671,Restaurant_2671,Hyderabad,Italian,816,3.8,3539,166502,No
R102672,Restaurant_2672,Kolkata,Thai,1256,4.6,367,1430174,Yes
R102673,Restaurant_2673,Mumbai,Italian,1359,4.3,390,588157,No
R102674,Restaurant_2674,Pune,Italian,680,4.9,4494,711871,Yes
R102675,Restaurant_2675,Bangalore,Thai,572,4.5,2124,1243764,Yes
R102676,Restaurant_2676,Bangalore,Mexican,1130,2.9,687,1658845,Yes
R102677,Restaurant_2677,Mumbai,Italian,603,4.3,4546,1299071,Yes
R102678,Restaurant_2678,Ahmedabad,Mexican,416,4.2,4513,631197,No
R102679,Restaurant_2679,Kolkata,Mexican,656,4.1,2440,1296406,Yes
R102680,Restaurant_2680,Delhi,Mughlai,1315,3.7,4038,1472334,Yes
R102681,Restaurant_2681,Delhi,Japanese,465,2.7,3243,252354,Yes
R102682,Restaurant_2682,Pune,Fast Food,913,4.9,3986,1576819,Yes
R102683,Restaurant_2683,Ahmedabad,Mexican,1405,4.6,4331,1707297,No
R102684,Restaurant_2684,Chennai,Mughlai,1470,3.7,2416,1226123,No
R102685,Restaurant_2685,Chennai,Continental,1047,2.9,3052,1734046,Yes
R102686,Restaurant_2686,Hyderabad,Italian,1102,4.6,4739,1349312,Yes
R102687,Restaurant_2687,Kolkata,South Indian,1024,3.6,1615,572430,Yes
R102688,Restaurant_2688,Kolkata,Mexican,1065,3.5,842,1506224,No
R102689,Restaurant_2689,Bangalore,Thai,171,4.2,3754,109895,Yes
R102690,Restaurant_2690,Jaipur,Italian,533,4.4,2450,1650878,No
R102691,Restaurant_2691,Pune,Italian,1299,2.7,404,1049215,Yes
R102692,Restaurant_2692,Delhi,Continental,252,4.4,4251,644807,Yes
R102693,Restaurant_2693,Pune,South Indian,1049,4.3,3945,1829861,No
R102694,Restaurant_2694,Chennai,Mughlai,882,4.0,4563,922490,No
R102695,Restaurant_2695,Chennai,Continental,259,3.3,4067,1640568,Yes
R102696,Restaurant_2696,Mumbai,Fast Food,1238,2.9,4787,1668832,Yes
R102697,Restaurant_2697,Hyderabad,Italian,819,2.8,2302,724110,Yes
R102698,Restaurant_2698,Kolkata,Mexican,1249,2.5,614,300073,Yes
R102699,Restaurant_2699,Lucknow,Mexican,1192,3.0,3503,1028638,Yes
R102700,Restaurant_2700,Pune,Continental,533,3.5,1352,1035575,No
R102701,Restaurant_2701,Chennai,Fast Food,339,3.1,1800,138209,Yes
R102702,Restaurant_2702,Jaipur,Chinese,911,3.3,2640,101527,Yes
R102703,Restaurant_2703,Bangalore,North Indian,509,3.5,307,699474,Yes
R102704,Restaurant_2704,Delhi,Thai,1024,3.3,1645,822661,Yes
R102705,Restaurant_2705,Hyderabad,Thai,1035,4.3,1096,1700806,Yes
R102706,Restaurant_2706,Jaipur,Chinese,228,3.7,2282,1196610,Yes
R102707,Restaurant_2707,Hyderabad,Italian,745,2.5,2644,194525,Yes
R102708,Restaurant_2708,Mumbai,Mughlai,1345,3.1,4127,1578097,Yes
R102709,Restaurant_2709,Lucknow,South Indian,1385,4.3,3634,895438,Yes
R102710,Restaurant_2710,Chennai,Chinese,1035,3.3,1690,1590320,No
R102711,Restaurant_2711,Bangalore,Fast Food,1164,4.8,1761,1259213,No
R102712,Restaurant_2712,Jaipur,Mexican,298,4.3,98,1560128,No
